customer_id,name,city,signup_date,gender
1,Aarav,Bangalore,06-05-2023,Male
2,Arjun,Delhi,13-12-2023,Male
3,Manav,Chennai,17-01-2023,Male
4,Aditya,Mumbai,30-04-2023,Male
5,Kunal,Mumbai,29-11-2023,Male
6,Sara,Chennai,29-10-2023,Female
7,Lavanya,Delhi,23-03-2023,Female
8,Riya,Bangalore,21-03-2023,Female
9,Raj,Bangalore,22-02-2023,Male
10,Shaurya,Delhi,03-07-2023,Male
11,Shreya,Bangalore,23-01-2023,Female
12,Sneha,Delhi,13-07-2023,Female
13,Kunal,Bangalore,18-11-2023,Male
14,Aditi,Mumbai,27-12-2023,Female
15,Vivaan,Mumbai,29-05-2023,Male
16,Nikhil,Mumbai,21-02-2023,Male
17,Ira,Chennai,22-11-2023,Female
18,Anika,Bangalore,01-07-2023,Female
19,Siddharth,Bangalore,26-12-2023,Male
20,Yash,Mumbai,01-10-2023,Male
21,Reyansh,Chennai,14-07-2023,Male
22,Payal,Kolkata,23-04-2023,Female
23,Bhavya,Delhi,28-04-2023,Female
24,Amit,Bangalore,25-07-2023,Male
25,Saanvi,Mumbai,18-10-2023,Female
26,Navya,Chennai,22-07-2023,Female
27,Pari,Bangalore,13-03-2023,Female
28,Varun,Kolkata,03-10-2023,Male
29,Radhika,Kolkata,08-08-2023,Female
30,Meera,Mumbai,12-03-2023,Female
31,Saanvi,Delhi,26-02-2023,Female
32,Harsh,Mumbai,15-12-2023,Male
33,Shreya,Delhi,17-07-2023,Female
34,Shreya,Chennai,28-09-2023,Female
35,Sneha,Delhi,15-12-2023,Female
36,Siddharth,Kolkata,17-05-2023,Male
37,Ananya,Bangalore,11-08-2023,Female
38,Dhruv,Delhi,15-05-2023,Male
39,Rohan,Delhi,17-11-2023,Male
40,Bhavya,Kolkata,08-11-2023,Female
41,Arjun,Bangalore,24-03-2023,Male
42,Yash,Bangalore,08-09-2023,Male
43,Vihaan,Bangalore,07-06-2023,Male
44,Vivaan,Mumbai,18-10-2023,Male
45,Aditya,Chennai,05-02-2023,Male
46,Arjun,Chennai,09-10-2023,Male
47,Arnav,Kolkata,07-11-2023,Male
48,Navya,Kolkata,20-12-2023,Female
49,Aniket,Bangalore,24-07-2023,Male
50,Pooja,Kolkata,20-08-2023,Female
51,Sai,Mumbai,02-02-2023,Male
52,Aanya,Kolkata,11-10-2023,Female
53,Manav,Mumbai,04-01-2023,Male
54,Aniket,Delhi,28-04-2023,Male
55,Deepak,Delhi,19-06-2023,Male
56,Rohan,Mumbai,23-05-2023,Male
57,Navya,Kolkata,09-03-2023,Female
58,Sara,Chennai,28-07-2023,Female
59,Vihaan,Delhi,04-12-2023,Male
